month,level_2,value
1967-07,Food Excl Food Serving Services, 
1967-07,Food Serving Services, 
1967-07,Housing & Utilities,28.457
1967-07,Transport,20.632
1967-08,Food,24.795
1967-08,Food Excl Food Serving Services, 
1967-08,Food Serving Services, 
1967-08,Housing & Utilities,28.457
1967-08,Transport,20.632
1967-09,Food,25.119
1967-09,Food Excl Food Serving Services, 
1967-09,Food Serving Services, 
1967-09,Housing & Utilities,28.529
1967-09,Transport,20.632
1967-10,Food,24.961
1967-10,Food Excl Food Serving Services, 
1967-10,Food Serving Services, 
1967-10,Housing & Utilities,28.529
1967-10,Transport,20.632
1967-11,Food,25.337
1967-11,Food Excl Food Serving Services, 
1967-11,Food Serving Services, 
1967-11,Housing & Utilities,28.605
1967-11,Transport,20.632
1967-12,Food,25.712
1967-12,Food Excl Food Serving Services, 
1967-12,Food Serving Services, 
1967-12,Housing & Utilities,28.605
1967-12,Transport,20.632
1968-01,Food,25.723
1968-01,Food Excl Food Serving Services, 
1968-01,Food Serving Services, 
1968-01,Housing & Utilities,28.658
1968-01,Transport,20.632
1968-02,Food,25.246
1968-02,Food Excl Food Serving Services, 
1968-02,Food Serving Services, 
1968-02,Housing & Utilities,28.658
1968-02,Transport,20.632
1968-03,Food,25.093
1968-03,Food Excl Food Serving Services, 
1968-03,Food Serving Services, 
1968-03,Housing & Utilities,28.605
1968-03,Transport,20.632
1968-04,Food,24.994
1968-04,Food Excl Food Serving Services, 
1968-04,Food Serving Services, 
1968-04,Housing & Utilities,28.605
1968-04,Transport,20.632
1968-05,Food,24.328
1968-05,Food Excl Food Serving Services, 
1968-05,Food Serving Services, 
1968-05,Housing & Utilities,28.775
1968-05,Transport,20.632
1968-06,Food,24.332
1968-06,Food Excl Food Serving Services, 
1968-06,Food Serving Services, 
1968-06,Housing & Utilities,28.775
1968-06,Transport,20.632
1968-07,Food,24.531
1968-07,Food Excl Food Serving Services, 
1968-07,Food Serving Services, 
1968-07,Housing & Utilities,28.758
1968-07,Transport,20.632
1968-08,Food,24.834
1968-08,Food Excl Food Serving Services, 
1968-08,Food Serving Services, 
1968-08,Housing & Utilities,28.893
